0	10	10000	1000	0.028626
1	10	10000	1000	0.068394
2	10	10000	1000	0.050644
3	10	10000	1000	0.049783
4	10	10000	1000	0.056731
5	10	10000	1000	0.062636
6	10	10000	1000	0.053480
7	10	10000	1000	0.058374
8	10	10000	1000	0.059383
9	10	10000	1000	0.033714
0	8	10000	1000	0.031516
1	8	10000	1000	0.067398
2	8	10000	1000	0.060671
3	8	10000	1000	0.059720
4	8	10000	1000	0.054003
5	8	10000	1000	0.069422
6	8	10000	1000	0.062428
7	8	10000	1000	0.031217
0	5	10000	1000	0.023526
1	5	10000	1000	0.052975
2	5	10000	1000	0.047805
3	5	10000	1000	0.043669
4	5	10000	1000	0.024216
0	2	10000	1000	0.028183
1	2	10000	1000	0.028169
0	1	10000	1000	0.000035
