0	1	20000	1.417813
0	2	20000	54.751255
1	2	20000	0.914177
0	5	20000	86.827072
1	5	20000	80.484291
2	5	20000	43.713261
3	5	20000	37.670105
4	5	20000	2.190251
0	8	20000	97.816719
1	8	20000	83.569229
2	8	20000	71.371407
3	8	20000	57.373127
4	8	20000	43.892704
5	8	20000	30.744242
6	8	20000	17.117920
7	8	20000	3.197381
0	10	20000	101.930984
1	10	20000	93.218590
2	10	20000	79.931961
3	10	20000	71.303360
4	10	20000	58.924232
5	10	20000	49.791092
6	10	20000	37.488468
7	10	20000	29.039064
8	10	20000	14.987264
9	10	20000	6.929339
