0	1	40	40	80	0.001000	100	0.278278
0	1	40	40	80	0.010000	100	0.273094
0	1	40	40	80	0.001000	500	1.207609
0	1	80	80	160	0.001000	100	2.500735
0	1	160	160	240	0.001000	100	16.203812
1	2	40	40	80	0.001000	100	0.154627
0	2	40	40	80	0.001000	100	0.154624
1	2	40	40	80	0.010000	100	0.152139
0	2	40	40	80	0.010000	100	0.152139
0	2	40	40	80	0.001000	500	0.619727
1	2	40	40	80	0.001000	500	0.619727
0	2	80	80	160	0.001000	100	1.423341
1	2	80	80	160	0.001000	100	1.423997
0	2	160	160	240	0.001000	100	9.287030
1	2	160	160	240	0.001000	100	9.285393
3	5	40	40	80	0.001000	100	0.073269
1	5	40	40	80	0.001000	100	0.073269
4	5	40	40	80	0.001000	100	0.073268
0	5	40	40	80	0.001000	100	0.073268
2	5	40	40	80	0.001000	100	0.073262
0	5	40	40	80	0.010000	100	0.082576
3	5	40	40	80	0.010000	100	0.082578
4	5	40	40	80	0.010000	100	0.082569
1	5	40	40	80	0.010000	100	0.082579
2	5	40	40	80	0.010000	100	0.082561
0	5	40	40	80	0.001000	500	0.313155
4	5	40	40	80	0.001000	500	0.313155
3	5	40	40	80	0.001000	500	0.313207
2	5	40	40	80	0.001000	500	0.313033
1	5	40	40	80	0.001000	500	0.313079
0	5	80	80	160	0.001000	100	0.618118
1	5	80	80	160	0.001000	100	0.618323
3	5	80	80	160	0.001000	100	0.618629
2	5	80	80	160	0.001000	100	0.618388
4	5	80	80	160	0.001000	100	0.618558
1	5	160	160	240	0.001000	100	3.854479
4	5	160	160	240	0.001000	100	3.854717
0	5	160	160	240	0.001000	100	3.854536
2	5	160	160	240	0.001000	100	3.854830
3	5	160	160	240	0.001000	100	3.855238
5	8	40	40	80	0.001000	100	0.053900
3	8	40	40	80	0.001000	100	0.053901
2	8	40	40	80	0.001000	100	0.053847
4	8	40	40	80	0.001000	100	0.053888
6	8	40	40	80	0.001000	100	0.053847
7	8	40	40	80	0.001000	100	0.053901
0	8	40	40	80	0.001000	100	0.053888
1	8	40	40	80	0.001000	100	0.053751
5	8	40	40	80	0.010000	100	0.056612
