0	10	20000	1000	0.893126
1	10	20000	1000	0.905387
2	10	20000	1000	0.931077
3	10	20000	1000	0.991029
4	10	20000	1000	0.985049
5	10	20000	1000	0.719551
6	10	20000	1000	1.056336
7	10	20000	1000	1.048285
8	10	20000	1000	1.011552
9	10	20000	1000	1.038046
0	8	20000	1000	567.781860
1	8	20000	1000	0.220250
2	8	20000	1000	567.847534
3	8	20000	1000	567.856628
4	8	20000	1000	567.803101
5	8	20000	1000	567.922424
6	8	20000	1000	567.765503
7	8	20000	1000	567.998779
0	5	20000	1000	1.483270
1	5	20000	1000	1.122898
2	5	20000	1000	1.233554
3	5	20000	1000	1.519376
4	5	20000	1000	1.209554
0	2	20000	1000	0.393966
1	2	20000	1000	7.426258
0	1	20000	1000	0.000133
